s,p,o
http://rdf.geohistoricaldata.org/id/directories/entry/980296,http://rdf.geohistoricaldata.org/def/directory#numEntry,70781
http://rdf.geohistoricaldata.org/id/directories/entry/980297,http://rdf.geohistoricaldata.org/def/directory#numEntry,70832
http://rdf.geohistoricaldata.org/id/directories/entry/980298,http://rdf.geohistoricaldata.org/def/directory#numEntry,71402
http://rdf.geohistoricaldata.org/id/directories/entry/980299,http://rdf.geohistoricaldata.org/def/directory#numEntry,71470
http://rdf.geohistoricaldata.org/id/directories/entry/980300,http://rdf.geohistoricaldata.org/def/directory#numEntry,71700
http://rdf.geohistoricaldata.org/id/directories/entry/980301,http://rdf.geohistoricaldata.org/def/directory#numEntry,72384
http://rdf.geohistoricaldata.org/id/directories/entry/980302,http://rdf.geohistoricaldata.org/def/directory#numEntry,72868
http://rdf.geohistoricaldata.org/id/directories/entry/980303,http://rdf.geohistoricaldata.org/def/directory#numEntry,72998
http://rdf.geohistoricaldata.org/id/directories/entry/980304,http://rdf.geohistoricaldata.org/def/directory#numEntry,74423
http://rdf.geohistoricaldata.org/id/directories/entry/980305,http://rdf.geohistoricaldata.org/def/directory#numEntry,76466
http://rdf.geohistoricaldata.org/id/directories/entry/980306,http://rdf.geohistoricaldata.org/def/directory#numEntry,78812
http://rdf.geohistoricaldata.org/id/directories/entry/980307,http://rdf.geohistoricaldata.org/def/directory#numEntry,78813
http://rdf.geohistoricaldata.org/id/directories/entry/980308,http://rdf.geohistoricaldata.org/def/directory#numEntry,78814
http://rdf.geohistoricaldata.org/id/directories/entry/980309,http://rdf.geohistoricaldata.org/def/directory#numEntry,79141
http://rdf.geohistoricaldata.org/id/directories/entry/980310,http://rdf.geohistoricaldata.org/def/directory#numEntry,79142
http://rdf.geohistoricaldata.org/id/directories/entry/980311,http://rdf.geohistoricaldata.org/def/directory#numEntry,82415
http://rdf.geohistoricaldata.org/id/directories/entry/980312,http://rdf.geohistoricaldata.org/def/directory#numEntry,83615
http://rdf.geohistoricaldata.org/id/directories/entry/980313,http://rdf.geohistoricaldata.org/def/directory#numEntry,83696
http://rdf.geohistoricaldata.org/id/directories/entry/980314,http://rdf.geohistoricaldata.org/def/directory#numEntry,84318
http://rdf.geohistoricaldata.org/id/directories/entry/980315,http://rdf.geohistoricaldata.org/def/directory#numEntry,85863
http://rdf.geohistoricaldata.org/id/directories/entry/980316,http://rdf.geohistoricaldata.org/def/directory#numEntry,87311
http://rdf.geohistoricaldata.org/id/directories/entry/980317,http://rdf.geohistoricaldata.org/def/directory#numEntry,91246
http://rdf.geohistoricaldata.org/id/directories/entry/980318,http://rdf.geohistoricaldata.org/def/directory#numEntry,92569
http://rdf.geohistoricaldata.org/id/directories/entry/980319,http://rdf.geohistoricaldata.org/def/directory#numEntry,92569
http://rdf.geohistoricaldata.org/id/directories/entry/980320,http://rdf.geohistoricaldata.org/def/directory#numEntry,92624
http://rdf.geohistoricaldata.org/id/directories/entry/980321,http://rdf.geohistoricaldata.org/def/directory#numEntry,92799
http://rdf.geohistoricaldata.org/id/directories/entry/980322,http://rdf.geohistoricaldata.org/def/directory#numEntry,94787
http://rdf.geohistoricaldata.org/id/directories/entry/980323,http://rdf.geohistoricaldata.org/def/directory#numEntry,95104
http://rdf.geohistoricaldata.org/id/directories/entry/980324,http://rdf.geohistoricaldata.org/def/directory#numEntry,97386
http://rdf.geohistoricaldata.org/id/directories/entry/980325,http://rdf.geohistoricaldata.org/def/directory#numEntry,97740
http://rdf.geohistoricaldata.org/id/directories/entry/980326,http://rdf.geohistoricaldata.org/def/directory#numEntry,97741
http://rdf.geohistoricaldata.org/id/directories/entry/980327,http://rdf.geohistoricaldata.org/def/directory#numEntry,99567
http://rdf.geohistoricaldata.org/id/directories/entry/980328,http://rdf.geohistoricaldata.org/def/directory#numEntry,99568
http://rdf.geohistoricaldata.org/id/directories/entry/980329,http://rdf.geohistoricaldata.org/def/directory#numEntry,99570
http://rdf.geohistoricaldata.org/id/directories/entry/980330,http://rdf.geohistoricaldata.org/def/directory#numEntry,99571
http://rdf.geohistoricaldata.org/id/directories/entry/980331,http://rdf.geohistoricaldata.org/def/directory#numEntry,99583
http://rdf.geohistoricaldata.org/id/directories/entry/980332,http://rdf.geohistoricaldata.org/def/directory#numEntry,101436
http://rdf.geohistoricaldata.org/id/directories/entry/980333,http://rdf.geohistoricaldata.org/def/directory#numEntry,101437
http://rdf.geohistoricaldata.org/id/directories/entry/980334,http://rdf.geohistoricaldata.org/def/directory#numEntry,101887
http://rdf.geohistoricaldata.org/id/directories/entry/980335,http://rdf.geohistoricaldata.org/def/directory#numEntry,107631
http://rdf.geohistoricaldata.org/id/directories/entry/980336,http://rdf.geohistoricaldata.org/def/directory#numEntry,108999
http://rdf.geohistoricaldata.org/id/directories/entry/980337,http://rdf.geohistoricaldata.org/def/directory#numEntry,109166
http://rdf.geohistoricaldata.org/id/directories/entry/980338,http://rdf.geohistoricaldata.org/def/directory#numEntry,110582
http://rdf.geohistoricaldata.org/id/directories/entry/980339,http://rdf.geohistoricaldata.org/def/directory#numEntry,110583
http://rdf.geohistoricaldata.org/id/directories/entry/980340,http://rdf.geohistoricaldata.org/def/directory#numEntry,112761
http://rdf.geohistoricaldata.org/id/directories/entry/980341,http://rdf.geohistoricaldata.org/def/directory#numEntry,113006
http://rdf.geohistoricaldata.org/id/directories/entry/980342,http://rdf.geohistoricaldata.org/def/directory#numEntry,113006
http://rdf.geohistoricaldata.org/id/directories/entry/980343,http://rdf.geohistoricaldata.org/def/directory#numEntry,113006
http://rdf.geohistoricaldata.org/id/directories/entry/980344,http://rdf.geohistoricaldata.org/def/directory#numEntry,113987
http://rdf.geohistoricaldata.org/id/directories/entry/980345,http://rdf.geohistoricaldata.org/def/directory#numEntry,115474
http://rdf.geohistoricaldata.org/id/directories/entry/980346,http://rdf.geohistoricaldata.org/def/directory#numEntry,115474
http://rdf.geohistoricaldata.org/id/directories/entry/980347,http://rdf.geohistoricaldata.org/def/directory#numEntry,115647
http://rdf.geohistoricaldata.org/id/directories/entry/980348,http://rdf.geohistoricaldata.org/def/directory#numEntry,118667
http://rdf.geohistoricaldata.org/id/directories/entry/980349,http://rdf.geohistoricaldata.org/def/directory#numEntry,121111
http://rdf.geohistoricaldata.org/id/directories/entry/980350,http://rdf.geohistoricaldata.org/def/directory#numEntry,121112
http://rdf.geohistoricaldata.org/id/directories/entry/980351,http://rdf.geohistoricaldata.org/def/directory#numEntry,121113
http://rdf.geohistoricaldata.org/id/directories/entry/980352,http://rdf.geohistoricaldata.org/def/directory#numEntry,122612
http://rdf.geohistoricaldata.org/id/directories/entry/980353,http://rdf.geohistoricaldata.org/def/directory#numEntry,122658
http://rdf.geohistoricaldata.org/id/directories/entry/980354,http://rdf.geohistoricaldata.org/def/directory#numEntry,124333
http://rdf.geohistoricaldata.org/id/directories/entry/980355,http://rdf.geohistoricaldata.org/def/directory#numEntry,124334
http://rdf.geohistoricaldata.org/id/directories/entry/980356,http://rdf.geohistoricaldata.org/def/directory#numEntry,125003
http://rdf.geohistoricaldata.org/id/directories/entry/980357,http://rdf.geohistoricaldata.org/def/directory#numEntry,125164
http://rdf.geohistoricaldata.org/id/directories/entry/980358,http://rdf.geohistoricaldata.org/def/directory#numEntry,128785
http://rdf.geohistoricaldata.org/id/directories/entry/980359,http://rdf.geohistoricaldata.org/def/directory#numEntry,131687
http://rdf.geohistoricaldata.org/id/directories/entry/980360,http://rdf.geohistoricaldata.org/def/directory#numEntry,134898
http://rdf.geohistoricaldata.org/id/directories/entry/980361,http://rdf.geohistoricaldata.org/def/directory#numEntry,135227
http://rdf.geohistoricaldata.org/id/directories/entry/980362,http://rdf.geohistoricaldata.org/def/directory#numEntry,136472
http://rdf.geohistoricaldata.org/id/directories/entry/980363,http://rdf.geohistoricaldata.org/def/directory#numEntry,137816
http://rdf.geohistoricaldata.org/id/directories/entry/980364,http://rdf.geohistoricaldata.org/def/directory#numEntry,139537
http://rdf.geohistoricaldata.org/id/directories/entry/980365,http://rdf.geohistoricaldata.org/def/directory#numEntry,140466
http://rdf.geohistoricaldata.org/id/directories/entry/980366,http://rdf.geohistoricaldata.org/def/directory#numEntry,140779
http://rdf.geohistoricaldata.org/id/directories/entry/980367,http://rdf.geohistoricaldata.org/def/directory#numEntry,141941
http://rdf.geohistoricaldata.org/id/directories/entry/980368,http://rdf.geohistoricaldata.org/def/directory#numEntry,142930
http://rdf.geohistoricaldata.org/id/directories/entry/980369,http://rdf.geohistoricaldata.org/def/directory#numEntry,144348
http://rdf.geohistoricaldata.org/id/directories/entry/980370,http://rdf.geohistoricaldata.org/def/directory#numEntry,144348
http://rdf.geohistoricaldata.org/id/directories/entry/980371,http://rdf.geohistoricaldata.org/def/directory#numEntry,145200
http://rdf.geohistoricaldata.org/id/directories/entry/980372,http://rdf.geohistoricaldata.org/def/directory#numEntry,148843
http://rdf.geohistoricaldata.org/id/directories/entry/980373,http://rdf.geohistoricaldata.org/def/directory#numEntry,148844
http://rdf.geohistoricaldata.org/id/directories/entry/980374,http://rdf.geohistoricaldata.org/def/directory#numEntry,151739
http://rdf.geohistoricaldata.org/id/directories/entry/980375,http://rdf.geohistoricaldata.org/def/directory#numEntry,155006
http://rdf.geohistoricaldata.org/id/directories/entry/980376,http://rdf.geohistoricaldata.org/def/directory#numEntry,155039
http://rdf.geohistoricaldata.org/id/directories/entry/980377,http://rdf.geohistoricaldata.org/def/directory#numEntry,155117
http://rdf.geohistoricaldata.org/id/directories/entry/980378,http://rdf.geohistoricaldata.org/def/directory#numEntry,156549
http://rdf.geohistoricaldata.org/id/directories/entry/980379,http://rdf.geohistoricaldata.org/def/directory#numEntry,156580
http://rdf.geohistoricaldata.org/id/directories/entry/980380,http://rdf.geohistoricaldata.org/def/directory#numEntry,156967
http://rdf.geohistoricaldata.org/id/directories/entry/980381,http://rdf.geohistoricaldata.org/def/directory#numEntry,159748
http://rdf.geohistoricaldata.org/id/directories/entry/980382,http://rdf.geohistoricaldata.org/def/directory#numEntry,160637
http://rdf.geohistoricaldata.org/id/directories/entry/980383,http://rdf.geohistoricaldata.org/def/directory#numEntry,160638
http://rdf.geohistoricaldata.org/id/directories/entry/980384,http://rdf.geohistoricaldata.org/def/directory#numEntry,171043
http://rdf.geohistoricaldata.org/id/directories/entry/980385,http://rdf.geohistoricaldata.org/def/directory#numEntry,171580
http://rdf.geohistoricaldata.org/id/directories/entry/980386,http://rdf.geohistoricaldata.org/def/directory#numEntry,172385
http://rdf.geohistoricaldata.org/id/directories/entry/980387,http://rdf.geohistoricaldata.org/def/directory#numEntry,177916
http://rdf.geohistoricaldata.org/id/directories/entry/980388,http://rdf.geohistoricaldata.org/def/directory#numEntry,179680
http://rdf.geohistoricaldata.org/id/directories/entry/980389,http://rdf.geohistoricaldata.org/def/directory#numEntry,179681
http://rdf.geohistoricaldata.org/id/directories/entry/980390,http://rdf.geohistoricaldata.org/def/directory#numEntry,180839
http://rdf.geohistoricaldata.org/id/directories/entry/980391,http://rdf.geohistoricaldata.org/def/directory#numEntry,182803
http://rdf.geohistoricaldata.org/id/directories/entry/980392,http://rdf.geohistoricaldata.org/def/directory#numEntry,185416
http://rdf.geohistoricaldata.org/id/directories/entry/980393,http://rdf.geohistoricaldata.org/def/directory#numEntry,186575
http://rdf.geohistoricaldata.org/id/directories/entry/980394,http://rdf.geohistoricaldata.org/def/directory#numEntry,186726
http://rdf.geohistoricaldata.org/id/directories/entry/980395,http://rdf.geohistoricaldata.org/def/directory#numEntry,188696
http://rdf.geohistoricaldata.org/id/directories/entry/980396,http://rdf.geohistoricaldata.org/def/directory#numEntry,188696
http://rdf.geohistoricaldata.org/id/directories/entry/980397,http://rdf.geohistoricaldata.org/def/directory#numEntry,188696
http://rdf.geohistoricaldata.org/id/directories/entry/980398,http://rdf.geohistoricaldata.org/def/directory#numEntry,189340
http://rdf.geohistoricaldata.org/id/directories/entry/980399,http://rdf.geohistoricaldata.org/def/directory#numEntry,191074
http://rdf.geohistoricaldata.org/id/directories/entry/980400,http://rdf.geohistoricaldata.org/def/directory#numEntry,191913
http://rdf.geohistoricaldata.org/id/directories/entry/980401,http://rdf.geohistoricaldata.org/def/directory#numEntry,193393
http://rdf.geohistoricaldata.org/id/directories/entry/980402,http://rdf.geohistoricaldata.org/def/directory#numEntry,194237
http://rdf.geohistoricaldata.org/id/directories/entry/980403,http://rdf.geohistoricaldata.org/def/directory#numEntry,194876
http://rdf.geohistoricaldata.org/id/directories/entry/980404,http://rdf.geohistoricaldata.org/def/directory#numEntry,196062
http://rdf.geohistoricaldata.org/id/directories/entry/980405,http://rdf.geohistoricaldata.org/def/directory#numEntry,196528
http://rdf.geohistoricaldata.org/id/directories/entry/980406,http://rdf.geohistoricaldata.org/def/directory#numEntry,196823
